pointid,grid_code,Latitude_DD,Longitude_DD
62892,-3980,17.913364500000000,-64.712546040000007
62893,-3968,17.913402349999998,-64.708241079999993
63028,-2290,17.917638380000000,-64.126985390000002
63029,-2354,17.917663279999999,-64.122679230000003
63030,-2385,17.917688089999999,-64.118373070000004
63031,-2390,17.917712800000000,-64.114066899999997
63032,-2380,17.917737410000001,-64.109760730000005
63033,-2344,17.917761930000001,-64.105454539999997
63034,-2300,17.917786360000001,-64.101148350000003
63035,-2265,17.917810690000000,-64.096842159999994
63036,-2233,17.917834920000001,-64.092535949999998
63037,-2206,17.917859060000001,-64.088229740000003
63038,-2186,17.917883100000001,-64.083923530000007
63039,-2177,17.917907050000000,-64.079617299999995
63040,-2173,17.917930909999999,-64.075311069999998
63041,-2163,17.917954659999999,-64.071004840000001
63042,-2139,17.917978330000000,-64.066698590000001
63043,-2065,17.918001889999999,-64.062392340000002
63044,-1903,17.918025360000001,-64.058086079999995
63045,-1708,17.918048740000000,-64.053779820000003
63046,-1555,17.918072020000000,-64.049473550000002
63047,-1383,17.918095210000001,-64.045167269999993
63048,-1129,17.918118300000000,-64.040860989999999
63049,-917,17.918141290000001,-64.036554699999996
63050,-872,17.918164189999999,-64.032248400000000
63051,-868,17.918187000000000,-64.027942100000004
63392,-3982,17.909052610000000,-64.734030590000003
63393,-3980,17.909090920000001,-64.729725779999995
63394,-3974,17.909129149999998,-64.725420970000002
63395,-3987,17.909167279999998,-64.721116140000007
63396,-4004,17.909205310000001,-64.716811300000003
63397,-3992,17.909243249999999,-64.712506460000000
63398,-3982,17.909281090000000,-64.708201599999995
63522,-2415,17.913235950000001,-64.174325479999993
63523,-2391,17.913261890000001,-64.170019499999995
63524,-2369,17.913287740000001,-64.165713519999997
63525,-2364,17.913313490000000,-64.161407519999997
63526,-2335,17.913339149999999,-64.157101519999998
63527,-2252,17.913364710000000,-64.152795519999998
63528,-2152,17.913390170000000,-64.148489499999997
63530,-2069,17.913440820000002,-64.139877459999994
63531,-2076,17.913466000000000,-64.135571420000005
63532,-2116,17.913491090000001,-64.131265380000002
63533,-2198,17.913516080000001,-64.126959330000005
63534,-2275,17.913540970000000,-64.122653279999994
63535,-2322,17.913565770000002,-64.118347209999996
63536,-2338,17.913590480000000,-64.114041139999998
63537,-2325,17.913615090000000,-64.109735069999999
63538,-2291,17.913639600000000,-64.105428979999999
63539,-2257,17.913664019999999,-64.101122889999999
63540,-2231,17.913688340000000,-64.096816799999999
63541,-2197,17.913712570000001,-64.092510689999997
63542,-2151,17.913736700000001,-64.088204579999996
63543,-2111,17.913760740000001,-64.083898460000000
63544,-2090,17.913784679999999,-64.079592340000005
63545,-2068,17.913808530000001,-64.075286210000002
63546,-2019,17.913832280000001,-64.070980070000005
63547,-1940,17.913855940000001,-64.066673929999993
63548,-1838,17.913879500000000,-64.062367780000002
63549,-1718,17.913902969999999,-64.058061620000004
63550,-1602,17.913926340000000,-64.053755449999997
63551,-1480,17.913949610000000,-64.049449280000005
63552,-1292,17.913972789999999,-64.045143109999998
63553,-1050,17.913995880000002,-64.040836920000004
63554,-886,17.914018870000000,-64.036530729999996
63555,-849,17.914041760000000,-64.032224540000001
63556,-835,17.914064560000000,-64.027918330000006
63897,-3984,17.904931399999999,-64.733990520000006
63898,-3982,17.904969699999999,-64.729685810000007
63899,-3980,17.905007919999999,-64.725381100000007
63900,-4009,17.905046039999998,-64.721076370000006
63901,-4035,17.905084060000000,-64.716771629999997
63902,-4002,17.905121990000001,-64.712466879999994
63903,-3987,17.905159820000002,-64.708162130000005
64023,-2400,17.909009009999998,-64.191521769999994
64024,-2403,17.909035329999998,-64.187215920000000
64025,-2406,17.909061550000001,-64.182910070000005
64026,-2400,17.909087679999999,-64.178604199999995
64027,-2385,17.909113710000000,-64.174298329999999
64028,-2362,17.909139650000000,-64.169992449999995
64029,-2334,17.909165489999999,-64.165686570000005
64030,-2308,17.909191230000001,-64.161380679999994
64031,-2262,17.909216879999999,-64.157074780000002
64032,-2165,17.909242440000000,-64.152768870000003
64033,-2062,17.909267900000000,-64.148462960000003
64034,-1999,17.909293259999998,-64.144157039999996
64035,-1978,17.909318530000000,-64.139851109999995
64036,-1985,17.909343710000002,-64.135545170000000
64037,-2029,17.909368789999998,-64.131239230000006
64038,-2108,17.909393770000001,-64.126933280000003
